ID_PERSONA|ID_EMPRESA|MONTO|FECHA
18|3|1383|2018-01-21
30|6|2331|2018-01-21
47|2|2280|2018-01-21
28|1|730|2018-01-21
91|4|3081|2018-01-21
74|8|2409|2018-01-21
41|2|3754|2018-01-22
42|9|4079|2018-01-22
24|6|4475|2018-01-22
67|9|561|2018-01-22
9|4|3765|2018-01-22
97|3|3669|2018-01-22
91|5|3497|2018-01-22
61|3|735|2018-01-23
15|5|367|2018-01-23
20|9|2039|2018-01-23
11|4|719|2018-01-23
36|2|2659|2018-01-23
12|4|467|2018-01-23
38|9|2411|2018-01-23
12|9|2974|2018-01-23
14|9|3669|2018-01-23
83|5|2079|2018-01-21
48|4|2543|2018-01-21
15|6|1434|2018-01-21
89|4|780|2018-01-21
4|2|863|2018-01-21
22|4|2058|2018-01-22
10|3|2027|2018-01-22
48|1|3833|2018-01-22
66|1|3847|2018-01-22
87|2|3581|2018-01-23
43|2|3310|2018-01-23
71|10|4028|2018-01-23
74|7|3360|2018-01-23
57|7|3331|2018-01-23
67|2|2645|2018-01-23
45|8|4232|2018-01-23
28|6|2406|2018-01-23
86|2|2235|2018-01-23
57|5|1992|2018-01-23
24|2|4398|2018-01-23
23|1|3333|2018-01-23
3|1|3363|2018-01-21
90|7|356|2018-01-21
9|3|610|2018-01-21
7|5|3352|2018-01-21
5|6|4091|2018-01-22
46|9|2828|2018-01-22
95|4|3979|2018-01-22
67|2|1120|2018-01-22
56|6|1120|2018-01-22
33|9|1627|2018-01-22
37|9|4437|2018-01-23
51|3|1541|2018-01-23
94|4|4424|2018-01-23
67|9|1793|2018-01-23
8|3|4043|2018-01-23
1|7|2402|2018-01-23
36|10|327|2018-01-23
39|7|4238|2018-01-23
59|2|2353|2018-01-23
7|2|1588|2018-01-23
26|7|2793|2018-01-23
8|10|553|2018-01-23
89|1|2650|2018-01-23
67|6|4259|2018-01-23
66|8|3396|2018-01-23
63|10|1454|2018-01-21
56|5|511|2018-01-21
44|10|2724|2018-01-21
87|4|258|2018-01-21
7|5|1174|2018-01-21
48|10|454|2018-01-21
28|1|2844|2018-01-21
13|4|1693|2018-01-22
55|10|614|2018-01-22
57|5|3002|2018-01-22
80|3|3839|2018-01-22
94|8|4040|2018-01-22
81|3|613|2018-01-23
81|1|3681|2018-01-23
83|3|1258|2018-01-23
56|5|796|2018-01-23
10|4|1574|2018-01-23
47|7|1829|2018-01-23
13|8|2883|2018-01-23
62|5|820|2018-01-21
59|1|2464|2018-01-21
76|3|408|2018-01-22
10|3|4494|2018-01-22
39|2|1252|2018-01-22
88|8|582|2018-01-23
4|3|2914|2018-01-23
33|10|1641|2018-01-23
64|4|1616|2018-01-23
80|1|545|2018-01-23
63|6|543|2018-01-23
90|2|2660|2018-01-23
98|1|2107|2018-01-23
